64	Small steps and regular reflection help you find your way.	Piccoli passi e momenti di riflessione ti aiutano a trovare la tua strada.
65	YOUR PACE.	IL TUO RITMO.
66	YOUR DIRECTION.	LA TUA DIREZIONE.
67	YOUR CONCEPT.	IL TUO PERCORSO.
69	YOUR STARTING POINT MATTERS.	IL TUO PUNTO DI PARTENZA CONTA.
70	ONE CONCEPT.	UN METODO.
71	YOUR POSSIBILITIES.	LE TUE POSSIBILITÀ.
72	From a mindful first step to focused training: we begin wherever you are today.	Dal primo passo consapevole all’allenamento mirato: partiamo da dove sei oggi.
73	01 / TRAINING	01 / ALLENAMENTO
74	BUILD STRENGTH.	SVILUPPARE FORZA.
75	Training with structure. Together, we look at your goals, your starting point and the next useful steps.	Allenamento con struttura. Consideriamo insieme i tuoi obiettivi, il punto di partenza e i prossimi passi utili.
76	This is my focus	È il mio obiettivo
77	02 / MOVEMENT	02 / MOVIMENTO
78	GET MOVING.	METTERSI IN MOVIMENTO.
79	A starting point that suits you. Movement earns a regular place in your life, with room for recovery.	Un inizio adatto a te. Il movimento trova spazio nella tua quotidianità, insieme al recupero.
80	03 / ROUTINES	03 / ABITUDINI
81	LEARN TO KEEP GOING.	IMPARARE LA COSTANZA.
82	An intention becomes a routine. We explore what helps you and how your plan can fit your life better.	Un’intenzione diventa un’abitudine. Scopriamo cosa ti aiuta e come adattare meglio il piano alla tua vita.
83	NUTRITION / MEAL PREP	ALIMENTAZIONE / MEAL PREP
84	YOUR EVERYDAY LIFE. CONSIDERED.	LA TUA QUOTIDIANITÀ. AL CENTRO.
85	PLAN WELL. EAT WITH EASE.	PIANIFICA BENE. MANGIA CON SERENITÀ.
86	YOUR PLATE.	IL TUO PIATTO.
87	A concept that goes beyond the gym.	Un metodo che va oltre la palestra.
88	Between training, work and everyday life, food needs to stay practical. With Giacomo, you can think through simple eating routines, shopping and meal preparation.	Tra allenamento, lavoro e impegni, mangiare deve restare pratico. Con Giacomo puoi ragionare su semplici abitudini alimentari, spesa e preparazione dei pasti.
89	Here, meal prep means planning favourite meals, preparing individual ingredients and combining them flexibly. We’ll discuss beforehand how this can fit into your coaching.	Qui meal prep significa pianificare i piatti preferiti, preparare alcuni ingredienti e combinarli con flessibilità. Valutiamo prima insieme come inserirlo nel tuo coaching.
90	Choose nutrition as your focus	Scegli il focus alimentazione
91	MORE PREPARATION. LESS EVERYDAY STRESS.	PIÙ ORGANIZZAZIONE. MENO STRESS QUOTIDIANO.
93	STEPS TO START YOUR MEAL PREP	PASSI PER INIZIARE CON IL MEAL PREP
94	A simple framework. No rigid weekly plan.	Una struttura semplice. Nessun piano settimanale rigido.
95	01 / PLAN	01 / PIANIFICARE
96	YOUR WEEK IN VIEW.	LA TUA SETTIMANA IN VISTA.
97	Which days will be busy? Which meals do you enjoy? Plan meals that fit and bring your shopping together in a clear list.	Quali giorni saranno pieni? Quali piatti ti piacciono? Pianifica pasti adatti ai tuoi impegni e riunisci la spesa in una lista chiara.
98	02 / PREPARE	02 / PREPARARE
99	BUILDING BLOCKS. LESS EFFORT.	INGREDIENTI PRONTI. MENO FATICA.
100	Prepare a few components, such as a grain, vegetables and a dip. That way, your next meal doesn’t have to start from scratch.	Prepara alcuni componenti, come un cereale, delle verdure e una salsa. Così, per il prossimo pasto non dovrai ricominciare da zero.
101	03 / COMBINE	03 / COMBINARE
102	KEEP THE VARIETY.	MANTENERE LA VARIETÀ.
103	One base, different ideas: a bowl, a wrap or a side dish. Adapt each combination to your taste and your day.	Una base, idee diverse: una bowl, un wrap o un contorno. Adatta ogni combinazione ai tuoi gusti e alla tua giornata.
104	YOUR BUILDING BLOCKS / AN EXAMPLE	I TUOI INGREDIENTI / UN ESEMPIO
105	Quinoa + roasted vegetables + chickpeas + a dip of your choice.	Quinoa + verdure al forno + ceci + una salsa a tua scelta.
106	A bowl today. A filling for your wrap next time.	Oggi una bowl. La prossima volta un ripieno per il tuo wrap.
107	FOCUS ON WHAT MOVES YOU FORWARD.	CONCENTRATI SU CIÒ CHE TI FA PROGREDIRE.
108	PERSONAL FITNESS COACHING	COACHING FITNESS PERSONALE
109	ONE HOUR.	UN’ORA.
110	YOUR FOCUS.	IL TUO OBIETTIVO.
111	Time with your training at the centre.	Tempo dedicato al tuo allenamento.
112	Attention for you	Attenzione per te
113	Your starting point and your questions give the session its direction.	Il tuo punto di partenza e le tue domande danno una direzione alla sessione.
114	Direct feedback	Feedback diretto
115	We look at exercises together. You can ask questions and put guidance into practice during training.	Osserviamo gli esercizi insieme. Puoi fare domande e mettere subito in pratica i suggerimenti.
116	Clear next steps	Prossimi passi chiari
117	By the end, you should have a clearer idea of what to focus on in your next workout.	Alla fine avrai più chiarezza su cosa concentrarti nel prossimo allenamento.
118	View coaching & pricing	Scopri servizio e prezzo
120	NOT EVERY DAY	NON TUTTI I GIORNI
121	IS THE SAME.	SONO UGUALI.
122	YOUR REASON REMAINS.	IL TUO PERCHÉ RESTA.
123	A plan can adapt.	Un piano può adattarsi.
124	After all, it should fit you.	Dopotutto, deve essere adatto a te.
125	03 / YOUR JOURNEY	03 / IL TUO PERCORSO
126	FROM INTENTION	DALL’INTENZIONE
127	TO ACTION.	ALL’AZIONE.
128	Clarity at the start.	Chiarezza all’inizio.
129	Structure along the way.	Struttura lungo il percorso.
130	UNDERSTAND.	CAPIRE.
131	We talk about your goal, your starting point and what matters to you. Your everyday life is part of the picture.	Parliamo del tuo obiettivo, del punto di partenza e di ciò che conta per te. Anche la tua quotidianità fa parte del quadro.
132	PLAN.	PIANIFICARE.
133	We agree on a suitable direction, with clear steps, a realistic schedule and a shared understanding.	Definiamo una direzione adatta, con passi chiari, un ritmo realistico e una visione condivisa.
134	PUT IT INTO PRACTICE.	METTERE IN PRATICA.
135	You train and try new routines. The plan provides direction and leaves room to learn.	Ti alleni e provi nuove abitudini. Il piano ti orienta e lascia spazio per imparare.
137	KEEP DEVELOPING.	EVOLVERE.
138	We reflect together: what works? What has changed? Your plan develops with you.	Riflettiamo insieme: cosa funziona? Cosa è cambiato? Il tuo percorso cresce con te.
139	IN FOCUS / MINDFUL TRAINING	IN PRIMO PIANO / ALLENAMENTO CONSAPEVOLE
140	STRONGER. WITH A PLAN.	PIÙ FORTE. CON UN METODO.
141	YOUR TRAINING CAN FIT YOU.	IL TUO ALLENAMENTO PUÒ ADATTARSI A TE.
142	PRESENCE.	PRESENZA.
143	NOT PRESSURE.	SENZA PRESSIONE.
144	Move mindfully. Find your rhythm. Give the next step the attention it deserves.	Muoviti con consapevolezza. Trova il tuo ritmo. Dedica al prossimo passo l’attenzione che merita.
145	Meet Giacomo	Conosci Giacomo
146	FOCUS IS THE START.	SI PARTE DALL’ATTENZIONE.
147	AT YOUR PACE.	AL TUO RITMO.
148	WITH CLEAR DIRECTION.	CON UNA DIREZIONE CHIARA.
149	04 / THE PERSON BEHIND THE CONCEPT	04 / LA PERSONA DIETRO IL METODO
150	THE PERSON. BEHIND YOUR PLAN.	LA PERSONA. DIETRO IL TUO PERCORSO.
154	FITNESS. COACHING. PERSONAL.	FITNESS. COACHING. PERSONALE.
155	Your goal deserves	Il tuo obiettivo merita
156	personal attention.	attenzione personale.
157	Iormetti Concepts brings fitness and coaching together under one name: Giacomo Constantin Iormetti.	Iormetti Concepts unisce fitness e coaching sotto un unico nome: Giacomo Constantin Iormetti.
158	The focus is on making training meaningful for you, with an open mind about where you are starting and a plan that considers your life.	Al centro c’è un allenamento che abbia senso per te: uno sguardo aperto al tuo punto di partenza e un piano che tenga conto della tua vita.
159	Plan your first step	Pianifica il primo passo
160	YOUR NEXT STEP MATTERS.	IL TUO PROSSIMO PASSO CONTA.
161	LESS GUESSWORK.	MENO CASUALITÀ.
162	MORE DIRECTION.	PIÙ DIREZIONE.
163	YOUR ONE-TO-ONE COACHING	IL TUO COACHING INDIVIDUALE
164	CLEAR SCOPE. CLEAR PRICE.	UN PERCORSO CHIARO. UN PREZZO CHIARO.
165	MY ATTENTION.	LA MIA ATTENZIONE.
166	Fitness coaching in direct conversation with Giacomo.	Coaching fitness in dialogo diretto con Giacomo.
167	Bring your goal and your current starting point. Together, we shape the session around what you need now: a mindful start, more clarity in training or a fresh perspective.	Porta il tuo obiettivo e il tuo punto di partenza. Insieme orientiamo la sessione su ciò che ti serve ora: iniziare con consapevolezza, fare chiarezza o trovare un nuovo stimolo.
169	One person.	Una persona.
170	One personal focus.	Un obiettivo personale.
171	IORMETTI CONCEPTS / ONE-TO-ONE COACHING	IORMETTI CONCEPTS / COACHING INDIVIDUALE
172	PERSONAL.	PERSONALE.
173	WITH A PLAN.	CON UN METODO.
176	per hour ·	all’ora ·
178	minutes	minuti
179	Personal one-to-one fitness coaching	Coaching fitness individuale
180	Aligned with your training goal	Orientato al tuo obiettivo di allenamento
181	Space for your questions and direct feedback	Spazio per le tue domande e feedback diretto
182	A shared look at your next steps	Uno sguardo insieme ai prossimi passi
183	Prepare my first step	Prepara il mio primo passo
184	We agree on the time, location and specific content before booking. No session is booked on this page.	Concordiamo orario, luogo e contenuti prima della prenotazione. Da questa pagina non viene prenotata alcuna sessione.
185	WHAT YOUR SESSION COULD LOOK LIKE	COME POTREBBE SVOLGERSI LA SESSIONE
186	ARRIVE. TRAIN.	ARRIVA. ALLENATI.
187	MOVE FORWARD WITH CLARITY.	RIPARTI CON CHIAREZZA.
188	The exact structure depends on your goal and your current starting point.	Lo svolgimento dipende dal tuo obiettivo e dal tuo punto di partenza.
189	FIND YOUR FOCUS	TROVA IL TUO OBIETTIVO
190	What matters today? We clarify what you want to work on and how you are feeling.	Cosa conta oggi? Chiariamo su cosa vuoi lavorare e come ti senti.
191	TRAIN WITH INTENTION	ALLENATI CON CONSAPEVOLEZZA
192	You train with personal guidance. Questions and feedback are part of the session.	Ti alleni con supporto personale. Domande e suggerimenti trovano spazio durante la sessione.
193	LOOK AHEAD	GUARDA AVANTI
194	We reflect on the session and identify the next step to take into your training.	Riflettiamo sulla sessione e individuiamo il prossimo passo da portare nel tuo allenamento.
195	05 / GOOD TO KNOW	05 / DA SAPERE
196	YOUR QUESTIONS.	LE TUE DOMANDE.
197	CLEAR ANSWERS.	RISPOSTE CHIARE.
198	Can I discuss nutrition and meal prep?	Posso parlare di alimentazione e meal prep?
199	Yes. You can choose eating routines, shopping plans and meal preparation as a focus for your conversation. We agree on the specific scope beforehand.	Sì. Puoi scegliere abitudini alimentari, organizzazione della spesa e preparazione dei pasti come focus del confronto. Concordiamo prima i contenuti specifici.
200	How much does one-to-one coaching cost?	Quanto costa il coaching individuale?
201	One-to-one fitness coaching costs €100 per hour (60 minutes). We agree on the time, location and specific content before booking.	Il coaching fitness individuale costa 100 € all’ora (60 minuti). Orario, luogo e contenuti vengono concordati prima della prenotazione.
202	Why choose coaching rather than training alone?	Perché scegliere il coaching individuale?
203	One-to-one coaching gives you space to ask questions and receive personal feedback. This can help you approach training more mindfully and see your next steps more clearly.	Il coaching individuale ti offre spazio per fare domande e ricevere feedback personale. Può aiutarti ad allenarti con più consapevolezza e a chiarire i prossimi passi.
204	Do I need previous training experience?	Devo avere già esperienza di allenamento?
205	Your training so far is a starting point for our conversation. Simply share where you are and what you would like. That helps us work out which guidance suits you.	La tua esperienza finora è il punto di partenza del confronto. Racconta dove sei e cosa desideri: ci aiuta a capire quale supporto fa per te.
206	How do I know which coaching suits me?	Come capisco quale coaching fa per me?
207	Start with your goal: more strength, more movement or more consistent routines. In a personal conversation, we turn that into concrete next steps.	Parti dal tuo obiettivo: più forza, più movimento o abitudini più costanti. Nel confronto personale lo trasformiamo in passi concreti.
208	How much time should I allow?	Quanto tempo devo prevedere?
209	That depends on your goal and your everyday life. The time you have available is part of the plan from the start.	Dipende dal tuo obiettivo e dalla tua quotidianità. Il tempo a disposizione fa parte del piano fin dall’inizio.
210	What should I think about before our first conversation?	A cosa devo pensare prima del primo confronto?
211	What would you like to change? What does your training look like now? What schedule would be realistic? Three honest answers are a good place to start.	Cosa vorresti cambiare? Come ti alleni ora? Quale ritmo sarebbe realistico? Tre risposte sincere sono un buon punto di partenza.
212	06 / YOUR NEXT STEP	06 / IL TUO PROSSIMO PASSO
213	START WITH	PARTI
214	YOU.	DA TE.
215	Your goal is the starting point.	Il tuo obiettivo è il punto di partenza.
216	One-to-one fitness coaching · €100 / hour. Choose your focus and a possible schedule to prepare for your first conversation.	Coaching fitness individuale · 100 € / ora. Scegli il tuo obiettivo e un possibile ritmo per prepararti al primo confronto.
217	My focus	Il mio obiettivo
218	Build strength	Sviluppare forza
219	Get moving	Mettermi in movimento
220	Build routines	Creare abitudini
221	Nutrition & meal prep	Alimentazione e meal prep
222	My realistic schedule	Il mio ritmo realistico
223	Please choose	Seleziona un’opzione
224	Once a week	Una volta a settimana
225	Twice a week	Due volte a settimana
226	Three times a week or more	Tre volte a settimana o più
227	I’d like to work this out together	Vorrei definirlo insieme
228	What matters to me	Cosa conta per me
229	(optional)	(facoltativo)
230	Prepare my coaching preferences	Prepara le mie preferenze
231	Please enable JavaScript to prepare your local conversation note. The form is disabled without JavaScript; no information is sent.	Attiva JavaScript per preparare la nota locale. Senza JavaScript il modulo è disattivato; nessuna informazione viene inviata.
232	Preview: contact details will be added. You can prepare and download your coaching preferences locally. No information is sent and no sessions are booked.	Anteprima: il contatto sarà aggiunto. Puoi preparare e scaricare le tue preferenze in locale. Nessuna informazione viene inviata e nessuna sessione viene prenotata.
233	YOUR COACHING PREFERENCES ARE READY.	LE TUE PREFERENZE SONO PRONTE.
234	Download note ↓	Scarica la nota ↓
235	1:1 FITNESS COACHING	COACHING FITNESS 1:1
236	View coaching	Scopri il coaching
238	Fitness & Coaching	Fitness e coaching
239	Back to top ↑	Torna all’inizio ↑
240	Design preview · Giacomo’s portraits and training scenes were created with AI using supplied photographs. Other sports and food images are AI-generated illustrations.	Anteprima del design · I ritratti e le scene di allenamento di Giacomo sono stati creati con l’IA a partire dalle foto fornite. Le altre immagini sportive e di cibo sono illustrazioni generate con l’IA.
241	Iormetti Concepts – Home	Iormetti Concepts – Inizio
242	Main navigation	Navigazione principale
243	Choose language	Scegli la lingua
244	Mobile navigation	Navigazione mobile
245	Giacomo running in a stadium – AI-generated scene based on his photographs	Giacomo corre in uno stadio – scena creata con l’IA dalle sue fotografie
246	Athlete performing a focused strength exercise with dumbbells	Atleta concentrata durante un esercizio di forza con manubri
247	Anonymous athlete performing a gentle mobility exercise	Atleta durante un tranquillo esercizio di mobilità
248	Two adults running together on a track	Due adulti corrono insieme su una pista
249	Prepared meals with quinoa, vegetables and chickpeas on dark stone	Pasti preparati con quinoa, verdure e ceci su pietra scura
250	Black-and-white detail of a hand gripping a dumbbell	Dettaglio in bianco e nero di una mano che impugna un manubrio
251	Our approach	Il nostro approccio
252	Close-up of chalk-covered hands before strength training	Primo piano di mani con magnesite prima dell’allenamento di forza
253	Quiet training room with a bench and weights in natural light	Sala tranquilla con panca e pesi nella luce naturale
254	Giacomo with a kettlebell – AI-generated training scene	Giacomo con un kettlebell – scena di allenamento creata con l’IA
255	Illustrative runner on a sunlit track	Immagine illustrativa di un corridore su una pista al sole
256	Black-and-white portrait of Giacomo – created with AI from his photographs	Ritratto in bianco e nero di Giacomo – creato con l’IA dalle sue fotografie
257	Your direction	La tua direzione
258	Stadium with a curved running track and a subtle red lane	Stadio con pista curva e una corsia di un rosso discreto
259	One-to-one fitness coaching price	Prezzo del coaching fitness individuale
260	For example: I’d like to train regularly again.	Per esempio: vorrei tornare ad allenarmi regolarmente.
261	Quick access to one-to-one coaching	Accesso rapido al coaching individuale
262	Close coaching bar	Chiudi la barra del coaching
263	Iormetti Concepts by Giacomo Constantin Iormetti. Personal one-to-one fitness coaching for €100 per hour. Your goal, individual guidance and training that fits your everyday life.	Iormetti Concepts di Giacomo Constantin Iormetti. Coaching fitness individuale a 100 € all’ora. Il tuo obiettivo, supporto personale e un allenamento adatto alla tua quotidianità.
